"FieldID_unique","Date","Year","Province","SamplerNo.x","FieldID","SamplerType","ExtractionGroup","qPCRPlate","JDay","SampleID","SsCtMean","SsCtSD","SsMean","logSsMean","VolumeSampled","TtCt","TtSD","Water","week","month","SsMean_t1","logSs_t1","SamplerNo.y","MeanWetness","DiffMeanWet","MeanWet_1d","MaxWetness","DiffMaxWet","MaxWet_1d","MinWetness","DiffMinWet","MinWet_1d","MeanTemp","DiffMeanT","MeanT_1d","MaxTemp","DiffMaxT","MaxT_1d","MinTemp","DiffMinT","MinT_1d","MeanRH","DiffMeanRH","MeanRH_1d","MaxRH","DiffMaxRH","MaxRH_1d","MinRH","DiffMinRH","MinRH_1d","DiffRH_0d","DiffRH_1d","DiffRH_2d","MaxDiffRH_2h","MaxDiffRH_3h","MeanVPD","DiffMeanVPD","MeanVPD_1d","MaxVPD","DiffMaxVPD","MaxVPD_1d","MinVPD","DiffMinVPD","MinVPD_1d","TotalPrecip","Precip_1d","RainYN","MaxRain","MinRain","MeanWC","DiffMeanWC","MeanWC_1d","MaxWC","DiffMaxWC","MaxWC_1d","MinWC","DiffMinWC","MinWC_1d","MeanDP","DiffMeanDP","MeanDP_1d","MaxDP","DiffMaxDP","MaxDP_1d","MinDP","DiffMinDP","MinDP_1d","MeanSoilTemp","DiffMeanSoilT","MeanSoilT_1d","MaxSoilTemp","DiffMaxSoilT","MaxSoilT_1d","MinSoilTemp","DiffMinSoilT","MinSoilT_1d","jday"
"1804Taber",2018-06-13,"2018","Alberta","Taber","1804","Burkard",NA,NA,164,NA,NA,NA,41.92,1.632693441,NA,NA,NA,NA,24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1804Taber",2018-06-14,"2018","Alberta","Taber","1804","Burkard",NA,NA,165,NA,NA,NA,66.6,1.82992528,NA,NA,NA,NA,24,6,41.92,1.632693441,"Taber",45.14688,NA,NA,100,NA,NA,3.53,NA,NA,14.51063,NA,NA,23.857,NA,NA,7.594,NA,NA,62.60625,NA,NA,94.4,NA,NA,29.7,NA,NA,64.7,NA,NA,24.2,29,5.20381,NA,NA,14.55061,NA,NA,0.47048,NA,NA,1,NA,1,1,0,18.5825,NA,NA,19.13,NA,NA,17.9,NA,NA,6.53958,NA,NA,9.5,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"1804Taber",2018-06-15,"2018","Alberta","Taber","1804","Burkard",NA,NA,166,NA,NA,NA,53.3,1.73479983,NA,NA,NA,NA,24,6,66.6,1.82992528,"Taber",52.69688,7.55,45.14688,100,0,100,2.35,-1.18,3.53,14.91063,0.4,14.51063,23.448,-0.409,23.857,7.393,-0.201,7.594,73.54583,10.93958,62.60625,96.7,2.3,94.4,38.5,8.8,29.7,58.2,64.7,NA,23.5,30.4,4.01357,-1.19025,5.20381,11.98469,-2.56592,14.55061,0.24445,-0.22602,0.47048,3,1,1,1,0,18.44125,-0.14125,18.5825,19.35,0.22,19.13,17.75,-0.15,17.9,9.54375,3.00417,6.53958,11.3,1.8,9.5,6.9,3.6,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"1804Taber",2018-06-16,"2018","Alberta","Taber","1804","Burkard",NA,NA,167,NA,NA,NA,54.51,1.744345147,NA,NA,NA,NA,24,6,53.3,1.73479983,"Taber",52.55,-0.14688,52.69688,100,0,100,3.53,1.18,2.35,14.0754,-0.83523,14.91063,18.295,-5.153,23.448,10.785,3.392,7.393,83.98542,10.43958,73.54583,95,-1.7,96.7,61.8,23.3,38.5,33.2,58.2,64.7,17.9,22.9,1.99205,-2.02151,4.01357,5.58773,-6.39696,11.98469,0.49082,0.24636,0.24445,2.8,3,1,0.8,0,18.58604,0.14479,18.44125,18.99,-0.36,19.35,17.9,0.15,17.75,11.28542,1.74167,9.54375,13.8,2.5,11.3,9.6,2.7,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,167
"1804Taber",2018-06-17,"2018","Alberta","Taber","1804","Burkard",NA,NA,168,NA,NA,NA,7.39,0.923934471,NA,NA,NA,NA,24,6,54.51,1.744345147,"Taber",37.31688,-15.23313,52.55,100,0,100,3.53,0,3.53,16.26356,2.18817,14.0754,23.352,5.057,18.295,8.469,-2.316,10.785,74.025,-9.96042,83.98542,97.5,2.5,95,46.8,-15,61.8,50.7,33.2,58.2,22.1,28.3,4.13306,2.14101,1.99205,10.49347,4.90574,5.58773,0.19805,-0.29276,0.49082,0,2.8,0,0,0,18.76708,0.18104,18.58604,19.49,0.5,18.99,18.04,0.14,17.9,11.11458,-0.17083,11.28542,13.9,0.1,13.8,8.1,-1.5,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
"1804Taber",2018-06-18,"2018","Alberta","Taber","1804","Burkard",NA,NA,169,NA,NA,NA,22.53,1.371560399,NA,NA,NA,NA,25,6,7.39,0.923934471,"Taber",70.77208,33.45521,37.31688,100,0,100,4.71,1.18,3.53,15.21221,-1.05135,16.26356,19.627,-3.725,23.352,10.687,2.218,8.469,84.12917,10.10417,74.025,95.7,-1.8,97.5,68.8,22,46.8,26.9,50.7,33.2,17.2,18.5,2.05881,-2.07425,4.13306,4.75276,-5.74071,10.49347,0.46695,0.2689,0.19805,2.2,0,1,0.4,0,18.4525,-0.31458,18.76708,18.7,-0.79,19.49,18.04,0,18.04,12.4875,1.37292,11.11458,14,0.1,13.9,8.9,0.8,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
"1804Taber",2018-06-19,"2018","Alberta","Taber","1804","Burkard",NA,NA,170,NA,NA,NA,69.44,1.847798795,NA,NA,NA,NA,25,6,22.53,1.371560399,"Taber",51.85146,-18.92063,70.77208,100,0,100,4.12,-0.59,4.71,16.6511,1.4389,15.21221,22.274,2.647,19.627,10.345,-0.342,10.687,80.275,-3.85417,84.12917,97.1,1.4,95.7,47.7,-21.1,68.8,49.4,26.9,50.7,18.2,21.8,3.12403,1.06522,2.05881,9.80667,5.05391,4.75276,0.30148,-0.16547,0.46695,0.2,2.2,1,0.2,0,18.94521,0.49271,18.4525,19.64,0.94,18.7,18.33,0.29,18.04,12.92292,0.43542,12.4875,15.1,1.1,14,9.6,0.7,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,170
"1804Taber",2018-06-20,"2018","Alberta","Taber","1804","Burkard",NA,NA,171,NA,NA,NA,17.92,1.27699764,NA,NA,NA,NA,25,6,69.44,1.847798795,"Taber",47.95375,-3.89771,51.85146,100,0,100,4.12,0,4.12,18.51573,1.86463,16.6511,27.112,4.838,22.274,9.015,-1.33,10.345,76.4875,-3.7875,80.275,97.2,0.1,97.1,45.1,-2.6,47.7,52.1,49.4,26.9,28.4,33.2,4.6487,1.52467,3.12403,13.92268,4.11601,9.80667,0.2367,-0.06478,0.30148,0,0.2,0,0,0,19.21896,0.27375,18.94521,20.08,0.44,19.64,18.33,0,18.33,13.8125,0.88958,12.92292,17.3,2.2,15.1,8.5,-1.1,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
"1804Taber",2018-06-21,"2018","Alberta","Taber","1804","Burkard",NA,NA,172,NA,NA,NA,67.71,1.836998879,NA,NA,NA,NA,25,6,17.92,1.27699764,"Taber",30.04896,-17.90479,47.95375,100,0,100,4.12,0,4.12,21.18283,2.6671,18.51573,30.419,3.307,27.112,12.316,3.301,9.015,69.15,-7.3375,76.4875,95.9,-1.3,97.2,36.4,-8.7,45.1,59.5,52.1,49.4,26.2,26.2,6.92088,2.27218,4.6487,19.30372,5.38104,13.92268,0.41861,0.18191,0.2367,0,0,0,0,0,19.06875,-0.15021,19.21896,19.93,-0.15,20.08,18.33,0,18.33,14.64583,0.83333,13.8125,19.7,2.4,17.3,11.6,3.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,172
"1804Taber",2018-06-22,"2018","Alberta","Taber","1804","Burkard",NA,NA,173,NA,NA,NA,74.56,1.87827279,NA,NA,NA,NA,25,6,67.71,1.836998879,"Taber",5.57583,-24.47313,30.04896,10.59,-89.41,100,4.12,0,4.12,21.1351,-0.04773,21.18283,29.59,-0.829,30.419,13.642,1.326,12.316,62.10417,-7.04583,69.15,86.2,-9.7,95.9,34,-2.4,36.4,52.2,59.5,52.1,16.8,24.3,8.13725,1.21638,6.92088,19.26654,-0.03718,19.30372,1.62463,1.20602,0.41861,0,0,0,0,0,18.51188,-0.55687,19.06875,19.2,-0.73,19.93,17.82,-0.51,18.33,12.80417,-1.84167,14.64583,14.3,-5.4,19.7,10.9,-0.7,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,173
